,en-R2Tg_delta-FADD_RNA-Seq-rep1.HTSeq.out,en-R2Tg_delta-FADD_RNA-Seq-rep2.HTSeq.out,en-R2Tg_NC_RNA-Seq-rep1.HTSeq.out,en-R2Tg_NC_RNA-Seq-rep2.HTSeq.out,en-R2Tg_RNA-Seq-rep1.HTSeq.out,en-R2Tg_RNA-Seq-rep2.HTSeq.out
A1BG,158,203,226,170,296,219
A1BG-AS1,164,218,239,197,278,293
A1CF,2,28,4,10,1,1
A2M,0,2,0,3,1,0
A2M-AS1,6,0,0,0,1,2
A2ML1,5,1,0,0,2,1
A2MP1,0,1,6,1,1,4
A3GALT2,1,8,4,6,7,3
A4GALT,26,39,32,32,35,46
A4GNT,0,8,1,1,0,0
AA06,0,0,0,0,0,0
AAAS,1506,2055,1990,1652,2017,1775
AACS,706,951,889,861,855,745
AACSP1,1,3,13,2,0,3
AADAC,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0
AADAT,225,262,318,230,254,267
AAGAB,1362,1611,1730,1540,1435,1443
AAK1,555,891,816,767,534,581
AAMDC,445,621,518,420,407,507
AAMP,3001,4047,4164,3617,3967,3691
AANAT,7,12,6,8,28,2
AAR2,1088,1604,1325,1291,1422,1070
AARD,9,7,3,8,6,6
AARS1,7658,11090,9799,9319,8862,8861
AARS2,1101,1573,1679,1413,1460,1441
AARSD1,0,1,2,0,2,2
AASDH,295,358,308,269,275,313
AASDHPPT,975,1366,1257,1323,976,1046
AASS,500,712,554,573,579,660
AATBC,51,94,70,66,72,59
AATF,1824,2616,2483,2324,2128,2284
AATK,84,136,140,98,140,90
ABALON,151,259,229,199,232,214
ABAT,124,219,207,222,155,164
ABCA1,69,132,91,141,96,80
ABCA10,4,0,0,1,2,1
ABCA11P,111,94,86,86,88,101
ABCA12,59,102,35,59,51,50
ABCA13,0,0,0,0,2,0
ABCA17P,4,17,11,8,8,16
ABCA2,617,1004,1315,897,1015,803
ABCA3,845,1357,1766,1504,1405,1178
ABCA4,12,15,4,2,12,2
ABCA5,128,215,160,157,125,140
ABCA6,0,0,1,0,1,1
ABCA7,605,825,847,632,1027,682
ABCA8,0,1,5,0,0,0
ABCA9,1,4,2,4,6,1
ABCA9-AS1,2,0,0,0,0,0
ABCB1,160,233,169,165,173,173
ABCB10,604,840,811,880,568,515
ABCB11,0,0,0,0,0,0
ABCB4,16,28,15,48,39,34
ABCB5,0,0,0,0,0,0
ABCB6,394,543,584,463,655,490
ABCB7,606,956,773,800,696,772
ABCB8,1569,2132,1868,1658,2206,1703
ABCB9,292,376,299,312,395,315
ABCC1,845,1210,1391,1019,1173,1034
ABCC10,681,1203,1011,872,1095,874
ABCC11,109,204,213,142,172,124
ABCC12,4,26,26,39,25,18
ABCC13,0,0,0,0,0,0
ABCC2,67,101,100,107,45,50
ABCC3,2,0,0,2,1,0
ABCC4,253,363,483,437,228,312
ABCC5,676,873,918,771,827,732
ABCC5-AS1,0,0,0,0,0,0
ABCC6,80,114,129,148,116,175
ABCC6P1,15,44,35,46,38,43
ABCC6P2,3,16,15,5,3,9
ABCC8,51,80,56,32,77,51
ABCC9,0,1,3,2,0,1
ABCD1,151,211,182,156,197,147
ABCD2,6,5,9,18,3,6
ABCD3,978,1332,1303,1295,1077,993
ABCD4,1076,1424,1432,1240,1342,1203
ABCE1,2562,3145,3152,3305,2737,2712
ABCF1,2673,3913,4094,3583,3473,3256
ABCF2,706,974,1090,897,896,764
ABCF2-H2BK1,3,3,2,4,1,6
ABCF3,776,1357,1095,940,1118,892
ABCG1,81,109,71,85,70,72
ABCG2,44,58,56,48,48,56
ABCG4,49,90,73,49,48,87
ABCG5,4,8,4,10,1,3
ABCG8,2,1,1,1,0,0
ABHD1,45,49,71,30,32,36
ABHD10,572,744,622,589,663,577
ABHD11,239,415,389,306,312,348
ABHD11-AS1,1,4,0,6,1,1
ABHD12,832,1205,1191,1079,1262,959
ABHD12B,8,6,7,11,15,15
ABHD13,97,138,125,133,118,102
ABHD14A,48,83,59,66,45,63
ABHD14A-ACY1,0,0,0,0,0,0
ABHD14B,318,448,438,340,428,381
ABHD15,97,154,107,110,107,89
ABHD16A,597,729,581,616,773,666
ABHD16B,84,108,88,71,112,113
ABHD17A,1125,1572,1441,1341,1751,1368
ABHD17B,435,679,568,588,729,600
ABHD17C,140,206,256,232,156,175
ABHD18,204,347,324,333,242,290
ABHD2,559,689,877,799,623,577
ABHD3,380,414,506,370,433,384
ABHD4,353,540,441,393,455,429
ABHD5,283,445,355,384,359,331
ABHD6,116,192,180,158,172,137
ABHD8,201,274,230,245,252,184
ABI1,806,1120,1005,1169,1078,933
ABI2,1111,1502,1504,1454,1152,1094
ABI3,1,6,0,2,0,0
ABI3BP,8,11,8,10,9,13
ABITRAM,469,593,621,567,462,517
ABL1,1298,1996,2625,2179,1695,1495
ABL2,827,1183,1178,1053,945,782
ABLIM1,1274,1809,1977,1898,1154,1394
ABLIM2,54,65,52,43,63,60
ABLIM3,1,1,10,1,9,6
ABO,1,3,1,1,6,2
ABR,876,1195,1152,1042,1053,981
ABR-AS1,0,5,0,1,0,2
ABRA,0,0,0,0,2,0
ABRACL,266,356,384,404,340,280
ABRAXAS1,505,733,522,503,645,644
ABRAXAS2,724,945,738,658,827,783
ABT1,1388,1945,1849,1492,1870,1298
ABTB1,58,109,57,77,54,80
ABTB2,550,746,591,750,813,611
ACAA1,842,1174,1094,947,1195,1003
ACAA2,460,674,742,744,525,607
ACACA,1114,1695,2161,1969,1509,1376
ACACB,166,272,433,333,242,232
ACAD10,252,373,409,319,334,266
ACAD11,53,105,92,103,88,71
ACAD8,544,703,743,660,744,725
ACAD9,1499,2070,2069,1849,1679,1575
ACADL,79,111,114,71,79,102
ACADM,1090,1278,1157,1227,1013,1094
ACADS,223,280,315,338,253,265
ACADSB,317,548,469,469,388,399
ACADVL,2392,3538,3543,3044,3332,3157
ACAN,38,27,31,42,58,14
ACAP1,13,31,8,28,14,26
ACAP2,314,316,344,411,290,316
ACAP3,1591,2215,2254,1979,2476,1992
ACAT1,1062,1557,1613,1398,1299,1353
ACAT2,2125,2832,2749,2461,2331,2394
ACBD3,1991,2886,2217,2223,2101,2157
ACBD3-AS1,292,487,387,308,353,312
ACBD4,112,202,146,104,185,139
ACBD5,373,525,440,496,421,366
ACBD6,1030,1552,1409,1271,1367,1303
ACBD7,114,121,95,129,119,131
ACBD7-DCLRE1CP1,0,0,0,0,0,0
ACCS,78,81,117,56,77,102
ACCSL,0,0,4,1,1,4
ACD,600,821,856,654,840,628
ACE,94,127,136,104,107,87
ACE2,22,33,39,26,21,26
ACER1,0,4,5,9,0,1
ACER2,259,285,153,149,275,210
ACER3,404,649,495,487,419,498
ACHE,286,492,380,323,484,338
ACIN1,6838,9904,9596,8596,8980,8667
ACKR1,0,0,0,0,0,0
ACKR2,1,8,3,9,16,5
ACKR3,2,6,9,2,11,3
ACKR4,8,24,6,9,18,20
ACLY,4623,6627,9335,7447,6435,5783
ACMSD,9,7,8,6,7,11
ACO1,587,863,852,751,728,668
ACO2,2894,3984,3952,3596,3536,3027
ACOD1,0,0,0,0,0,0
ACOT1,30,21,52,29,31,43
ACOT11,25,44,69,41,51,41
ACOT12,3,0,1,1,1,2
ACOT13,278,534,378,391,352,307
ACOT2,264,400,334,292,358,333
ACOT4,4,2,2,1,4,4
ACOT6,4,6,2,0,1,4
